"MacroTrends Data Download"
"QQQ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-03-10,43.2416,43.321,42.58,43.2416,2215410
1999-03-11,43.5592,43.8106,42.6065,43.4533,4102330
1999-03-12,43.2946,43.321,42.0508,42.3948,3702204
1999-03-15,42.7123,43.665,42.2625,43.6121,2696752
1999-03-16,43.7974,44.1678,43.321,43.9826,2077207
1999-03-17,43.9826,44.0355,43.5327,43.665,1678853
1999-03-18,43.6121,44.5384,43.5989,44.5119,2052904
1999-03-19,45.094,45.094,43.3474,43.3739,3031844
1999-03-22,43.5592,43.6651,42.7653,42.8447,2127595
1999-03-23,42.6065,42.7652,41.2568,41.3362,4641679
1999-03-24,41.7067,42.7653,41.0716,42.7388,3576616
1999-03-25,43.4004,44.3002,43.1159,44.3002,3444004
1999-03-26,43.9297,44.4325,43.6386,43.8238,3495827
1999-03-29,44.3531,45.4381,44.0884,45.4116,2165276
1999-03-30,45.3587,45.7292,44.9089,45.0941,2091943
1999-03-31,45.8351,45.888,44.3002,44.4325,3495999
1999-04-01,45.7292,45.7821,44.6177,45.3587,3690430
1999-04-05,46.0931,47.0656,45.8086,46.9995,2412302
1999-04-06,46.9465,47.6081,46.5496,47.0921,3185123
1999-04-07,47.5287,47.6346,45.5969,46.6025,5048673
1999-04-08,46.5231,47.198,45.5704,46.973,3367194
1999-04-09,46.8936,47.37,46.7613,47.2641,2094567
1999-04-12,46.1526,47.2641,46.0997,46.9465,4629655
1999-04-13,47.2376,47.3435,45.9409,46.3114,4218180
1999-04-14,46.8936,46.9465,44.4656,44.7236,8999256
1999-04-15,44.8823,45.405,43.2945,45.3322,7473583
1999-04-16,45.2264,45.2264,43.7709,44.0091,7314138
1999-04-19,44.3002,44.6707,41.5016,41.9449,8239979
1999-04-20,41.7597,43.2416,41.3627,42.8976,7373243
1999-04-21,43.2946,45.0412,42.7124,45.0147,4632370
1999-04-22,45.4381,46.3643,45.1404,46.232,5771447
1999-04-23,45.9939,47.1847,45.5175,46.8407,2991199
1999-04-26,47.1583,48.2697,47.0061,47.9191,2295353
1999-04-27,48.2697,48.5079,46.5826,47.1847,6979123
1999-04-28,46.7877,46.9465,45.3653,45.5704,3250498
1999-04-29,45.3587,45.6233,44.2472,45.1999,8107698
1999-04-30,45.835,46.0732,43.8767,45.491,6476267
1999-05-03,45.3588,45.544,44.4921,45.2529,4704100
1999-05-04,45.3322,46.0467,44.2737,44.5383,6532665
1999-05-05,44.5648,45.888,43.2152,45.888,5353113
1999-05-06,45.4646,45.8615,43.7974,44.2208,6424703
1999-05-07,44.6177,44.9882,43.665,44.8559,6956936
1999-05-10,45.147,45.6102,44.6177,45.3058,4490016
1999-05-11,45.6763,46.2585,45.4116,46.0203,3726422
1999-05-12,46.232,47.1318,44.8824,46.973,5295866
1999-05-13,47.3435,47.4229,45.888,46.0997,4176601
1999-05-14,45.1999,45.7292,44.8824,45.2264,5167993
1999-05-17,44.8295,46.1791,44.3862,46.0402,4194726
1999-05-18,45.9939,46.2585,45.3058,45.8351,3924162
1999-05-19,46.0203,46.4967,45.3058,46.4702,3381252
1999-05-20,46.5694,46.5694,45.1205,45.1933,2539324
1999-05-21,45.3322,45.4646,44.5383,44.7765,4433869
1999-05-24,44.8559,44.9353,43.3475,43.6386,4052033
1999-05-25,43.5856,44.2207,42.0243,42.2095,7524649
1999-05-26,42.7653,43.5592,41.4421,43.3872,11335764
1999-05-27,43.2152,43.976,42.6594,43.3475,9880393
1999-05-28,43.6121,44.3002,43.0564,44.062,5491655
1999-06-01,43.9826,44.1943,42.8446,43.0828,2947075
1999-06-02,43.0564,44.0355,41.978,43.8106,5079582
1999-06-03,44.1414,44.1414,42.9241,43.1887,4720186
1999-06-04,43.5063,44.6641,43.5063,44.5119,5499024
1999-06-07,44.8228,45.7226,44.7236,45.4381,4865841
1999-06-08,45.544,45.7557,44.0686,44.3002,3444428
1999-06-09,44.4589,45.1668,44.4324,45.0411,3550107
1999-06-10,44.5648,44.8295,43.9892,44.5251,3976918
1999-06-11,44.8295,44.8758,43.4533,43.8503,7015032
1999-06-14,44.0091,44.0091,42.9241,43.0233,5985783
1999-06-15,43.1291,43.923,43.0034,43.665,3873345
1999-06-16,44.75,45.9078,44.6971,45.9078,6376762
1999-06-17,45.3058,46.629,45.3058,46.4173,6892498
1999-06-18,45.9939,46.7613,45.9145,46.629,2283413
1999-06-21,46.9465,48.0514,46.8671,48.0249,4473498
1999-06-22,47.7404,48.3491,46.576,46.576,4599507
1999-06-23,46.5826,47.4229,46.2849,47.3104,4067780
1999-06-24,47.2905,47.317,46.1526,46.3709,6346531
1999-06-25,46.6819,47.0524,45.888,46.3114,3656473
1999-06-28,46.7084,47.4758,46.3246,47.4097,3246014
1999-06-29,47.3699,48.2432,47.1318,48.058,3810936
1999-06-30,48.1043,50.7573,47.5353,48.799,8242945
1999-07-01,48.9578,49.4077,48.111,49.1298,2888818
1999-07-02,49.1166,49.8046,49.1166,49.7517,1398129
1999-07-06,50.0163,50.5191,49.1695,49.4341,3723880
1999-07-07,49.4076,49.7252,49.0636,49.5135,4454363
1999-07-08,49.5135,50.3802,49.2753,50.1751,4752873
1999-07-09,50.3603,50.7308,49.9898,50.6779,1774632
1999-07-12,50.8632,51.1278,50.1222,50.4133,3309526
1999-07-13,50.1751,50.3603,49.7781,50.1751,2637898
1999-07-14,50.6779,51.1277,49.9633,51.0285,2925566
1999-07-15,51.2072,51.4983,50.9227,51.4983,2769074
1999-07-16,51.5247,52.2657,51.5049,51.9746,2080593
1999-07-19,52.1863,52.1863,51.2402,51.4453,2893216
1999-07-20,50.8169,50.8896,49.3283,49.4606,6282433
1999-07-21,49.5664,50.1287,49.1694,49.6987,4649300
1999-07-22,49.6988,49.6988,48.2962,48.4351,6414113
1999-07-23,48.799,49.0041,48.0051,48.5079,5129717
1999-07-26,47.8463,48.3755,47.2376,47.317,4539045
1999-07-27,48.2697,49.0107,47.8595,48.2697,5814720
1999-07-28,48.8519,49.487,48.2234,49.2158,4302695
1999-07-29,48.2962,48.6932,47.6876,48.1639,5518757
1999-07-30,48.3756,48.9049,47.8529,47.9257,4635333
1999-08-02,48.0051,48.9578,47.6082,47.7934,4082774
1999-08-03,48.4483,48.4549,46.7877,47.4824,5506557
1999-08-04,47.4824,47.8397,46.5827,46.6224,5600816
1999-08-05,46.6289,47.3633,45.5175,47.3633,7915887
1999-08-06,47.0259,47.8992,46.5231,46.8539,5247089
1999-08-09,47.026,47.1583,46.1593,46.2519,3380322
1999-08-10,46.1262,46.4636,44.8295,45.8351,7099550
1999-08-11,46.6554,47.4229,45.9541,47.3435,5547377
1999-08-12,47.5287,47.8462,46.6818,46.7877,5383761
1999-08-13,47.7669,48.8783,47.6875,48.8254,6072916
1999-08-16,48.799,49.3812,48.4814,49.2158,4856865
1999-08-17,49.6458,49.6988,48.5608,49.4606,4830530
1999-08-18,49.2224,49.831,48.7196,48.9048,2978832
1999-08-19,48.4549,48.7989,48.0116,48.3226,4300997
1999-08-20,48.3756,49.0901,48.1109,49.0901,2930396
1999-08-23,49.5399,50.6514,49.4275,50.6514,4086832
1999-08-24,50.281,51.5512,50.1817,50.9955,5881880
1999-08-25,51.3131,52.2922,50.7573,52.0805,4806649
1999-08-26,52.0805,52.2657,51.1344,51.2138,4129602
1999-08-27,51.5976,51.6042,50.5721,50.7044,4079809
1999-08-30,50.916,51.0748,49.8575,49.9898,4294137
1999-08-31,50.3339,50.8632,49.2224,50.5456,6177847
1999-09-01,50.8632,51.3395,50.5456,50.9095,4552598
1999-09-02,49.9634,50.9954,49.8575,50.7308,6174793
1999-09-03,52.1863,53.0795,52.0011,53.0596,6010591
1999-09-07,52.9538,53.4831,52.7421,52.8215,3814580
1999-09-08,52.5039,53.0331,51.6835,52.1069,6056320
1999-09-09,52.1334,52.9802,51.8687,52.8479,5367928
1999-09-10,53.5625,53.9793,52.9538,53.4566,4340464
1999-09-13,53.4037,53.5096,52.5304,52.8149,3065891
1999-09-14,52.6098,53.4765,52.5039,53.106,4243758
1999-09-15,53.7676,53.7676,52.0276,52.0805,6815347
1999-09-16,52.054,52.5303,50.9756,52.054,6508364
1999-09-17,52.5304,53.7213,52.451,53.6154,6142282
1999-09-20,53.7742,53.9859,53.3772,53.7411,2619776
1999-09-21,53.2714,53.3772,52.2988,52.451,5193570
1999-09-22,52.5304,53.2846,51.8952,53.0067,5268088
1999-09-23,53.5624,53.6683,50.4992,50.8102,8369287
1999-09-24,50.4927,51.0749,49.6459,50.8764,9980321
1999-09-27,51.6041,51.9746,51.0748,51.2336,5338795
1999-09-28,50.9756,51.657,49.884,51.4718,8731734
1999-09-29,51.4718,51.8423,50.4397,50.4397,6587118
1999-09-30,50.9161,51.4983,50.2809,50.969,7453944
1999-10-01,50.281,50.9889,49.7517,50.9889,8302142
1999-10-04,51.2601,52.3186,50.969,52.1334,5264870
1999-10-05,52.3187,53.139,51.3924,52.5039,8267840
1999-10-06,52.8214,53.6352,52.0209,53.5558,8086526
1999-10-07,53.8535,54.1115,53.0331,53.4301,9320962
1999-10-08,53.2184,54.1447,52.5039,53.9925,9536746
1999-10-11,54.1446,54.7798,54.0123,54.7533,5511215
1999-10-12,54.568,55.0047,53.3507,53.5095,8545769
1999-10-13,52.9009,53.536,51.71,51.9217,9556811
1999-10-14,52.107,52.6098,51.2601,52.2459,9370427
1999-10-15,50.9161,51.6571,50.3934,50.7044,14270483
1999-10-18,50.7573,50.9425,48.6203,50.0626,10464697
1999-10-19,50.6051,50.8632,49.4871,50.3339,11287157
1999-10-20,51.1014,52.2856,50.5985,51.8688,9521164
1999-10-21,51.0219,52.7156,50.6514,52.7156,9507777
